SMILES,Density (g/cm^3),van der Waals volume (cm^3/g),FFV,SCScore
*Sc1ccc(cc1)C(C)c1ccc(cc1)[Si](C)(c1ccccc1)*,1.119 ,0.549 ,0.202 ,2.318 
*Oc1ccc(cc1Br)/C=C/C(=O)*,1.427 ,0.430 ,0.202 ,1.819 
*NC(=O)c1ccc(cc1)[Si](C)(C)/C=N/c1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)S(=O)(=O)*,1.182 ,0.519 ,0.202 ,4.011 
*Oc1cc(C(C)C)c(cc1CN(CC)[Si](C)(C)C)*,1.100 ,0.558 ,0.202 ,2.576 
*CC(c1cc(OC)c(O)c(OC)c1O)*,1.071 ,0.573 ,0.202 ,2.727 
*CC(c1cc(OC)c(OC)c(O)c1O)*,1.071 ,0.573 ,0.202 ,2.426 
*C#Cc1cc(OCC(CC)CCCCCC)c(cc1OCCC)*,1.045 ,0.587 ,0.202 ,3.601 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)OCCCCOc1ccc(cc1)*,1.174 ,0.523 ,0.202 ,2.775 
*Oc1ccc(cc1OC)c1cc(CCOCC(CCCC)CCCCCCCC)c(cc1OC)*,1.034 ,0.594 ,0.202 ,3.670 
*c1cc(C(C)C)c(cc1C[Si](C)(C)CC)*,1.035 ,0.593 ,0.202 ,2.514 
*c1ccc(cc1)[Si](C)(C)[Si](C)(C)O[Si](C)(C)[Si](C#N)(NCC=C)*,1.021 ,0.601 ,0.202 ,2.353 
*/C=C(\c1ccc(OCCC(C)CCCCNC(C)C)cc1)/*,0.997 ,0.616 ,0.202 ,4.013 
*CCCCCCc1ccc(cc1)C(C)(C)c1ccc(cc1)[Si](C)(C)[Si](C)(c1ccc(Br)cc1)*,1.150 ,0.534 ,0.202 ,3.590 
*N=P(C)(O[Si](C)(C)CCCCc1ccc(I)c(Cl)c1)*,1.232 ,0.498 ,0.202 ,3.424 
*O[Si](C)(CCCCCCCCCCOc1ccc(OC(=O)C)c(C(=O)OCCCCCCCCCOc2ccc(c3ccc([Si](C)(C)C)cc3)cc2)c1)*,1.063 ,0.577 ,0.202 ,3.915 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)[Si](C)(Oc1ccc(/N=N/c2ccc(F)cc2)cc1)*,1.112 ,0.552 ,0.202 ,3.160 
*O[Si](C)(C)CCCCCCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c1ccc(cc1)S(=O)(=O)*,1.093 ,0.561 ,0.202 ,2.658 
*CC(CC(C)CCC)(c1cc(C)c(OC)cc1C)*,1.052 ,0.584 ,0.202 ,3.172 
*CC(c1ccc(C(C)(C)c2ccc(CCCCCCC)cc2)cc1C)*,1.047 ,0.587 ,0.202 ,4.026 
*Cc1c(C)cc(c(F)c1F)c1cc(CCCCCC)c(s1)*,1.306 ,0.470 ,0.202 ,3.849 
*O[Si](C)(C)CCCC(=O)Nc1ccc(cc1)S(=O)(=O)S*,1.158 ,0.530 ,0.202 ,3.035 
*OC(CCOCC(F)(F)F)COC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)*,1.343 ,0.457 ,0.202 ,3.131 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)Oc1c(C)cc(c(Br)c1Cl)c1cc(C)c(c(Br)c1Br)OC(=O)*,1.516 ,0.405 ,0.202 ,3.345 
*CC(O)CC(CC)C(C)O[Si](C)(CC)CCCCCOc1ccc(cc1)c1ccc(cc1)O*,1.075 ,0.571 ,0.202 ,4.070 
*Cc1cc(CCCCCCCCCCCCCCCCCC)c(cc1CCCCC)*,0.944 ,0.651 ,0.202 ,3.668 
*Oc1ccc(c(F)c1F)C(=O)Nc1ccc(cc1C(F)(F)F)Cc1ccc(c(C(F)(F)F)c1)NC(=O)c1ccc(cc1)*,1.398 ,0.439 ,0.202 ,3.729 
*c1cc(I)c(c(c2ccc(OCCCCCC)cc2)c1)*,1.120 ,0.548 ,0.202 ,3.140 
*OP(=O)(OC(C)CCI)O[Si](C)(c1ccc(C)cc1)*,1.129 ,0.544 ,0.202 ,3.762 
*O[Si](C)(CCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)c3ccc(OCC(C)CC)cc3)cc2)cc1)*,1.062 ,0.578 ,0.202 ,4.376 
*CC(c1cnc(OCC(CC)CCCCCC)nc1Cc1ccccc1)*,0.957 ,0.642 ,0.202 ,3.837 
*N=P(OC[Si](C)(Cl)Oc1ccc(C(C)(C)C)cc1)(Oc1ccc([Si](C)(C)C)cc1)*,1.159 ,0.529 ,0.202 ,2.481 
*Oc1ccc(cc1)CC(C=C)[Si](C)([Si](C)(C)C)*,1.009 ,0.609 ,0.202 ,2.520 
*Oc1ccc(cc1)C(=O)CNc1ccc(cc1)C[Si](C)(C)c1ccc(c(F)c1F)C(=O)*,1.339 ,0.459 ,0.202 ,3.466 
*Oc1cc(CN(C)CC)cc(c1O)*,1.125 ,0.546 ,0.202 ,2.730 
*NC(C(=O)OCCCCC(F)(F)F)*,1.411 ,0.435 ,0.202 ,3.034 
*CC1CCCCCCCCN1*,0.885 ,0.694 ,0.202 ,1.924 
*c1ccc(cc1)c1ccc(cc1)[Si](C)(CCCCCCCCCCCC)*,1.063 ,0.578 ,0.202 ,2.717 
*/C=C/c1cc(OCCCCC)c(cc1OCCCC)S*,1.073 ,0.572 ,0.202 ,3.177 
*O[Si](C)(C)S(=O)([2H])=C(c1ccccc1C)*,1.115 ,0.551 ,0.202 ,2.527 
*Nc1cc(c(N)c(Br)c1O)*,1.492 ,0.412 ,0.202 ,1.728 
*c1ccc2-c3c(C(c2c1)CCCCCCCC)cc(cc3)*,1.056 ,0.581 ,0.202 ,2.897 
*OC(COCCOCCOc1ccc(c2ccc(OC)cc2)cc1)*,1.111 ,0.553 ,0.202 ,2.219 
*/C=N/c1ccc(cc1)Nc1ccc(cc1)N(c1ccc(CC)cc1)*,1.113 ,0.551 ,0.202 ,2.519 
*Nc1ccc(cc1)/C(/C)=N/c1ccc(cc1)N(c1ccc(C)cc1)*,1.113 ,0.551 ,0.202 ,2.566 
*/C=C/C(c1ccc(C)c(C)c1)*,1.023 ,0.600 ,0.202 ,2.332 
*N=P(OCCCCC)(Oc1ccc(C)cc1Br)*,1.291 ,0.475 ,0.202 ,2.278 
*c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1nnc(n1c1ccc(c2ccccc2)[nH]1)*,1.218 ,0.504 ,0.202 ,4.930 
*CC(c1ccc(OCC(O)O)cc1C)*,1.052 ,0.584 ,0.202 ,2.690 
*O[Si](C)(CCCCCCCCCCCCCN(C)C(C)C)*,0.926 ,0.663 ,0.202 ,2.943 
*SSCCCNC(=S)N[Si](C)(C)*,1.060 ,0.579 ,0.202 ,2.326 
*OC(OC(=O)c1ccc(Br)cc1)OC(=O)c1ccc(cc1)C(=O)*,1.455 ,0.422 ,0.202 ,1.625 
*Nc1cc(c(Br)c(Cl)c1Br)NC(=O)c1cc(cc(C(F)(F)F)c1)C(=O)*,1.343 ,0.457 ,0.202 ,3.406 
*/C(/c1cccc([Si](C)(C)C)c1)=C(\C)/CNc1ccc(cc1)*,1.070 ,0.574 ,0.202 ,2.370 
*CCCCCCCc1ccc(/C(=C/c2ccc(I)cc2)/C)cc1*,1.074 ,0.572 ,0.202 ,3.339 
*/C=C(\CN[Si](C)(C)C#N)/*,0.922 ,0.666 ,0.202 ,1.786 
*/C(/C)=C(\C[Si](C)(C)COc1ccc(c2ccccc2)cc1)/*,1.040 ,0.590 ,0.202 ,2.559 
*OC(CCCN(C)C)*,1.009 ,0.608 ,0.202 ,2.036 
*SS(=O)(=O)c1ccc(cc1C)N(c1cccc(C(=O)OCC)c1)c1ccc(nc1)*,1.263 ,0.486 ,0.202 ,3.350 
*c1cc(OCCC(CC)CCCC)c(cc1OC)*,1.034 ,0.594 ,0.202 ,2.750 
*O[Si](C)(C)CCC[Si](C)(C)NCc1ccc(C)cc1*,1.054 ,0.583 ,0.202 ,2.343 
*/C=N/c1ccc(cc1)/C=C/C(/c1ccc(Br)cc1)=C\c1ccc(cc1)*,1.429 ,0.430 ,0.202 ,2.752 
*O[Si](C)(CCC(C)(CC)CCCCCCCCCC)*,0.910 ,0.675 ,0.202 ,3.143 
*O[Si](C)(CCCCCCCCCCCC(=O)Oc1cccc(C(=O)Oc2ccc(OCCCCC)cc2)c1)*,1.049 ,0.585 ,0.202 ,4.221 
*CC(c1cc(C(F)(F)F)c(Br)c(Cl)c1Cl)*,1.356 ,0.453 ,0.202 ,2.567 
*CC(c1cc(C(F)(F)F)c(Cl)c(Br)c1O)*,1.356 ,0.453 ,0.202 ,2.738 
*CC(c1cc(C(F)(F)F)c(Cl)c(Cl)c1Br)*,1.356 ,0.453 ,0.202 ,2.534 
*c1cc(CCCCCCCCCCCCCCCCCCCC)c(cc1CC)*,0.948 ,0.648 ,0.202 ,2.745 
*Oc1ccc(c(Br)c1)Sc1ccc(cc1)OC(=O)OCCOC(=O)*,1.471 ,0.417 ,0.202 ,3.125 
*OS(=O)(=O)c1ccc(cc1)NC(=O)OCCCCCOc1ccc(cc1)*,1.170 ,0.525 ,0.202 ,2.482 
*C(C)C(OC(=C(C)C)C)*,0.931 ,0.659 ,0.202 ,1.614 
*Nc1cc(Cl)c(c(Br)c1OCC(CC)CCC)*,1.290 ,0.476 ,0.202 ,3.149 
*c1ccc(cc1)c1ccc(cc1)C(c1ccc(C(C)(C)c2ccccc2)cc1)*,1.102 ,0.557 ,0.202 ,2.865 
*Nc1cc(CCCCCCCC(C)C)c(cc1OCCCC)*,1.046 ,0.587 ,0.202 ,3.824 
*/C=C/c1ccc(cc1)/C=C/[Si](C)(CCCCCCC)c1ccc(cc1)[Si](C)(C)*,1.044 ,0.588 ,0.202 ,3.163 
*O[Si](C)(C)OC(=O)c1ccc(c(C)c1)C(=O)*,1.146 ,0.536 ,0.202 ,2.328 
*OC(=O)[Si](C)(C)Oc1ccc(cc1C)C(=O)*,1.146 ,0.536 ,0.202 ,2.100 
*C#Cc1cc(OCC(CC)CCCC)c(cc1OCCCC)O*,1.048 ,0.586 ,0.202 ,3.014 
*Oc1ccc(cc1C)NC(=O)Nc1ccc(c(C)c1)c1cc(C)c(cc1Br)OC(=O)*,1.452 ,0.423 ,0.202 ,3.224 
*Oc1c(C)cc(c(C)c1C)C(C)(C)c1cc(Cl)c(Cl)c(c1Cl)*,1.271 ,0.483 ,0.202 ,2.660 
*CC(C)(C)C[Si](C)(c1ccc(C)cc1)*,1.002 ,0.613 ,0.202 ,2.033 
*C(=O)c1cccc(c1)C(=O)NC(=O)Oc1ccc(cc1)Oc1ccc(cc1)*,1.240 ,0.495 ,0.202 ,2.841 
*OC(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)Nc1cccc(c1)C(=O)*,1.240 ,0.495 ,0.202 ,2.972 
*OC(=O)c1cccc(c1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(=O)*,1.240 ,0.495 ,0.202 ,3.107 
*Oc1ccc(cc1)C(=O)Nc1ccc(cc1)OC(=O)c1cccc(c1)C(=O)*,1.240 ,0.495 ,0.202 ,2.821 
*Oc1ccc(cc1)C(=O)Nc1cccc(c1)C(=O)Oc1ccc(cc1)C(=O)*,1.240 ,0.495 ,0.202 ,2.871 
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)OC(=O)c1cccc(c1)C(=O)*,1.240 ,0.495 ,0.202 ,2.821 
*Oc1ccc(cc1)NC(=O)c1cccc(c1)C(=O)Oc1ccc(cc1)C(=O)*,1.240 ,0.495 ,0.202 ,2.930 
*Oc1ccc(cc1)NC(=O)c1cccc(c1)OC(=O)c1ccc(cc1)C(=O)*,1.240 ,0.495 ,0.202 ,3.101 
*Oc1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)Nc1cccc(c1)C(=O)*,1.240 ,0.495 ,0.202 ,2.702 
*Oc1ccc(cc1)OC(=O)c1ccc(cc1)NC(=O)c1cccc(c1)C(=O)*,1.240 ,0.495 ,0.202 ,2.882 
*Oc1cccc(c1)NC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,1.240 ,0.495 ,0.202 ,2.858 
*Oc1ccc(cc1Br)Sc1ccc(c(C)c1)OC(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)*,1.452 ,0.423 ,0.202 ,3.445 
*c1cc(ccc1C)COC(=O)c1ccc(cc1)/N=N/c1ccc(cc1)CCCC/C=C/c1ccc(cc1)OS(=O)(=O)*,1.158 ,0.530 ,0.202 ,3.335 
*OCCSCCCCOC(=O)*,1.094 ,0.561 ,0.202 ,2.355 
*O[Si](C)(CCCCCCCC(=O)Oc1ccc(S(=O)(=O)c2ccc(c3ccc(OC)cc3)cc2)cc1)*,1.134 ,0.541 ,0.202 ,3.811 
*C(=O)c1ccc(c(Br)c1)C(=O)c1ccc(cc1)*,1.454 ,0.422 ,0.202 ,2.246 
*CCP(=O)(OCCC)[Si](C)(C)*,0.950 ,0.646 ,0.202 ,2.300 
*Cc1ccc(cc1)CCc1ccc(cc1)CC(CCCC)*,1.055 ,0.582 ,0.202 ,2.879 
*c1ccc(cc1)Cc1cccc(c1C(C)CCCCCCCCCC)*,1.042 ,0.589 ,0.202 ,3.310 
*C[Si](C)(CCCCCCCCCCCCCCCCCCCCC(F)(F)F)*,1.383 ,0.444 ,0.202 ,2.647 
*/C=C(\c1cc(SC#N)c(C#Cc2ccccc2)cc1C#N)/*,1.205 ,0.509 ,0.202 ,2.634 
*C/C(/C)=C(\C[Si](C)(C)C)/*,0.884 ,0.695 ,0.202 ,1.728 
*CC(C)=C(C[Si](C)(C)C)*,0.884 ,0.695 ,0.202 ,1.728 
*CC(c1ccc(C(COCC)c2ccccc2)cc1)*,1.024 ,0.599 ,0.202 ,2.590 
*/C=C(\CNc1ccc(C#C[Si](C)(C)C)s1)/*,0.925 ,0.664 ,0.202 ,2.682 
*N=P(Cl)(O[Si](C)(C)COc1ccc(C(C)(C)c2ccc(C)cc2)cc1)*,1.156 ,0.531 ,0.202 ,2.264 
*O[Si](C)(CCCCC(c1ccccc1)c1ccccc1c1ccccc1)*,1.050 ,0.585 ,0.202 ,3.244 
*Oc1ccc(cc1)C(c1ccccc1)c1ccc(cc1)OC(=O)[Si](C)(C)[Si](C)(C)OC(=O)*,1.129 ,0.544 ,0.202 ,2.593 
*OP(C)(CCCC)CC(C)*,0.922 ,0.666 ,0.202 ,2.198 
*O[Si](C)(CCCCOc1ccc(Br)cc1OC)*,1.277 ,0.481 ,0.202 ,2.370 
*/C(/[2H])=C(\[Si](C)(C)CCOC(=O)c1cccc(Br)c1)/*,1.362 ,0.451 ,0.202 ,2.259 
*CC(c1ccccc1)C(C)(C)C1CC(C1)*,0.976 ,0.629 ,0.202 ,2.699 
*CC(OC(=O)c1cc(F)c(C(F)(Cl)Cl)c(Cl)c1F)*,1.359 ,0.452 ,0.202 ,2.395 
*/C=C/C([Si](C)(C)CCc1ccccc1)*,0.949 ,0.647 ,0.202 ,2.209 
*/C=C/C(C)C(C[Si](C)(C)C)(c1ccccc1)*,1.009 ,0.608 ,0.202 ,2.347 
*Nc1cc(C(=O)OCCCCCC)cc(c1)S(=O)(=O)c1ccc(cc1)*,1.157 ,0.530 ,0.202 ,3.256 
*c1ccc2c(c1)C(=O)N(C2)c1ccc(cc1C)Cc1ccc(c(C)c1)N1C(=O)c2ccc(c(C(F)(F)F)c2C1=O)C(C(F)(F)F)(C(F)(F)F)*,1.345 ,0.456 ,0.202 ,4.489 
*c1cc(CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(O)c(c1Cl)*,1.401 ,0.438 ,0.202 ,2.378 
*/N=C(\C)/c1ccc(cc1)c1ccc(cc1)OC(C)(C)c1ccc(cc1)*,1.106 ,0.555 ,0.202 ,2.650 
*C/C=C/[Si](C)(C)Cc1ccc(cc1)c1ccc(cc1)C(CC)*,1.029 ,0.596 ,0.202 ,2.904 
*/C=C/c1ccc(cc1)c1cc(CCCCCCC(C)C)c(nc1OCCCCCCCC)*,0.981 ,0.626 ,0.202 ,4.529 
*Oc1ccc(cc1)C(C(=O)OCCCCCC)c1ccc(cc1)OC(=O)*,1.112 ,0.552 ,0.202 ,2.738 
*O[Si](C)(CCCCCCC)Oc1ccc(cc1)C(C(F)(F)F)OC(=O)c1ccc(cc1)*,1.337 ,0.459 ,0.202 ,3.189 
*Oc1ccccc1CN(c1ccccc1)*,1.104 ,0.556 ,0.202 ,2.157 
*OC(C)O[Si](C)(C)O*,1.036 ,0.593 ,0.202 ,1.500 
*O[Si](C)(CCCCCCOc1c(C)cc(/C=N/c2ccc(Br)cc2)cc1OC)*,1.254 ,0.490 ,0.202 ,3.371 
*c1ccc(cc1)Cc1ccc(cc1)/N=C(\C#N)/c1ccc(cc1)N(c1ccccc1)*,1.101 ,0.558 ,0.202 ,3.348 
*CC(c1cc(CO)ccc1O)*,1.033 ,0.594 ,0.202 ,2.361 
*CC(c1ccc(CO)c(O)c1)*,1.033 ,0.594 ,0.202 ,2.530 
*CC(c1ccc(CO)cc1O)*,1.033 ,0.594 ,0.202 ,2.486 
*CC(c1ccc(O)c(CO)c1)*,1.033 ,0.594 ,0.202 ,2.222 
*CC(c1ccc(O)cc1CO)*,1.033 ,0.594 ,0.202 ,2.102 
*CC(F)(O[Si](C)(C)C)*,0.979 ,0.627 ,0.202 ,1.781 
*Cc1ccc(cc1)CN(CCCCCC)c1ccc(cc1)/C=C/c1ccc(cc1)/C=C/c1ccc(cc1)*,1.092 ,0.562 ,0.202 ,3.746 
*CC(C(=O)OCCCCCCCCCCOC(=O)c1cc(Br)c(Cl)c(F)c1F)*,1.305 ,0.470 ,0.202 ,2.936 
*CC(O[Si](C)(C)CCCCCCCCCC)*,0.908 ,0.676 ,0.202 ,1.939 
*OC(O)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1c(Br)cc(cc1Br)C(=O)*,1.541 ,0.398 ,0.202 ,2.482 
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)*,1.292 ,0.475 ,0.202 ,3.778 
*/C=C(\c1cccc(C(=O)O)c1)/*,1.146 ,0.536 ,0.202 ,2.223 
*c1ccc(cc1)Oc1ccc(cc1)Sc1ccc([nH]1)*,1.249 ,0.492 ,0.202 ,2.635 
*C/C=C/CSCCCCC(=O)N*,1.038 ,0.592 ,0.202 ,2.497 
*Sc1cc(OCC(C)CC)c(cc1OCCCCCCCC)*,1.065 ,0.576 ,0.202 ,3.258 
*CCOC(=O)CCCOC(=O)C(C)S(=O)(=O)SC(=O)O*,1.170 ,0.525 ,0.202 ,2.384 
*O[Si](C)(CCCC(=O)OCCCCCCCCCCCCOc1ccc(c2ccc(OC(=O)c3ccc(OCCCC)cc3)cc2)cc1)*,1.068 ,0.575 ,0.202 ,4.436 
*CC[Si](CCC)(SCC)*,1.024 ,0.600 ,0.202 ,1.862 
*c1ccc2c(c1)c1cc(ccc1n2CC(CCCC)CCCCCCCCCCCC)*,0.959 ,0.641 ,0.202 ,3.068 
*NC(CCCCCC)CC(c1ccccc1)*,0.956 ,0.642 ,0.202 ,3.309 
*CC(c1cccc(COCCOc2ccccc2)c1)*,1.055 ,0.582 ,0.202 ,2.647 
*CCOCCOCCOC(=O)CCCCC(=O)OCCOC(=O)c1ccccc1C(=O)OCCCN[IH]*,1.188 ,0.517 ,0.202 ,2.654 
*C#Cc1cc(N(CC)CC)c(cc1CCCCCCC)/C=C/c1ccc(c(CC)c1)*,1.067 ,0.575 ,0.202 ,4.209 
*C(=O)c1ccc(cc1)OCC(=O)Nc1c(C)cc(cc1Br)*,1.449 ,0.424 ,0.202 ,2.500 
*/C=C/c1ccc(cc1)Cc1ccc(cc1)[Si](CC)(CC)*,1.079 ,0.569 ,0.202 ,2.786 
*NNC(=O)c1cc(cc(C(=O)Nc2ccccc2)c1c1ccc(S(=O)(=O)O)c(NCC)c1)C(=O)*,1.253 ,0.490 ,0.202 ,4.378 
*CCCC(c1ccc(I)cc1)C=CCCC(=O)O*,1.133 ,0.542 ,0.202 ,2.690 
*OC(C)O[Si](C)(C)O[Si](C)(C)CCCOc1cccc(c1)c1ccc(cc1)*,1.093 ,0.562 ,0.202 ,3.348 
*N=P(NCCCCCC)(OCC)*,0.996 ,0.616 ,0.202 ,2.697 
*CCCCCCCCCCSSCCNC(=O)c1ccc(c2ccccc12)C(=O)O*,1.065 ,0.576 ,0.202 ,3.409 
*c1ccc(c(C)c1C)S(=O)(=O)c1ccc(c(Br)c1O)N1C(=O)c2ccc(cc2C1=O)Oc1ccc2c(c1)C(=O)N(C2=O)*,1.432 ,0.429 ,0.202 ,4.660 
*O[Si](C)(CCCCCCCCCCCCCCCOc1ccc(OC(=O)c2ccc(C(=O)OC(=O)C(F)(F)F)cc2)cc1)*,1.304 ,0.471 ,0.202 ,4.220 
*c1ccc(s1)c1cc(CCCC)c(s1)*,1.033 ,0.595 ,0.202 ,2.780 
*CCCCCOC(c1ccc(C)cc1)COC(=O)c1ccccc1C(=O)O*,1.112 ,0.552 ,0.202 ,2.646 
*OS(=O)(=O)c1ccc(cc1)/C=N/c1ccc(cc1C)/C=N/c1ccc(cc1)/C=N/c1ccc(cc1)*,1.238 ,0.496 ,0.202 ,2.330 
*OP(=O)(OCc1ccccc1)N(Cc1ccccc1)*,1.105 ,0.556 ,0.202 ,2.196 
*O[Si](C)(C)c1ccc(C)c(c1)NC(=O)c1cccc(c1)C(=O)*,1.149 ,0.534 ,0.202 ,2.874 
*CC(C)(C)CC(C)CC(C)=N*,0.915 ,0.671 ,0.202 ,2.135 
*Nc1cc(C(C)CCCC)cc(c1CC)/C=C/C=C/c1ccc(cc1)*,1.040 ,0.591 ,0.202 ,3.486 
*N=P(C)(CCCCI)N(CC(C)C)*,0.949 ,0.647 ,0.202 ,2.555 
*c1ccc(cc1)/C=C/c1cc(OCC(COCCCC)COc2ccc(c3ccc(OC)cc3)cc2)c(cc1CCCCCCCCCCCCCCCCCCCCCC)*,0.984 ,0.624 ,0.202 ,4.393 
*Oc1ccc(cc1)Oc1ccc(cc1Br)/C(=N/c1ccccc1)/c1ccc(cc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)*,1.446 ,0.425 ,0.202 ,3.878 
*OP(=O)(c1ccccc1)Oc1ccc(cc1)COc1ccc(cc1)N(CC)*,1.114 ,0.551 ,0.202 ,3.118 
*/C=C(\c1ccc(/N=N/c2ccc(C#N)cc2)cc1)/C=C/C[Si](C)(C)*,1.072 ,0.573 ,0.202 ,2.966 
*Oc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1cc(C(=O)O)c(cc1Br)OC(=O)c1ccc(cc1)C(=O)*,1.449 ,0.424 ,0.202 ,3.687 
*c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)*,1.367 ,0.449 ,0.202 ,2.646 
*CC(c1ccc(c2ccccc2)cc1C(C)CCCCCCC)*,1.051 ,0.584 ,0.202 ,3.853 
*O[Si](C)(CCCCCCCCCCCOc1ccc(c2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(OCCCCCCCCC)cc4)cc3)cc2)cc1)*,1.068 ,0.575 ,0.202 ,4.477 
*NS(=O)(=O)c1ccc(cc1C)NC(=S)Nc1ccc(cc1)NC(=O)c1ccc(cc1)*,1.248 ,0.492 ,0.202 ,2.991 
*CCCCSC(=O)S*,1.073 ,0.572 ,0.202 ,1.612 
*Oc1ccc(cc1)C(=O)OC(=O)c1ccc(cc1)/C=C/c1ccc(cc1)OC(=O)[Si](C)(C)c1ccc(cc1)*,1.184 ,0.519 ,0.202 ,2.683 
*OC([2H])=C(OC(C)C)*,1.025 ,0.599 ,0.202 ,1.945 
*Nc1ccc(cc1)C(C(C)(C)C)c1ccc(cc1)[Si](C)(C)c1ccc(cc1)*,1.082 ,0.568 ,0.202 ,2.452 
*/C=C(\c1ccccc1C(C)(C)CC)/*,0.989 ,0.621 ,0.202 ,2.289 
*Sc1ccc(cc1)C[Si](C)(C)c1ccc(cc1)C(=C(C#N)CCCCCCCC)*,1.075 ,0.571 ,0.202 ,3.304 
*C[Si](C)(CCCCC(C)CC)*,0.861 ,0.713 ,0.202 ,2.828 
*CCSOCCCCC(=O)O*,1.092 ,0.562 ,0.202 ,1.962 
*Cc1ccc(cc1)CO[Si](C)(C)c1ccc(cc1)[Si](C)(C)*,1.099 ,0.559 ,0.202 ,2.108 
*c1ccc(c(C(F)(F)F)c1)[Si](C)(C)c1ccc(cc1C(F)(F)F)CN(c1cc(C(F)(F)F)cc(C(F)(F)F)c1C(F)(F)F)*,1.419 ,0.433 ,0.202 ,3.929 
*c1ccc(c2ccccc12)[Si](C)(O[Si](C)(C)C)*,1.118 ,0.549 ,0.202 ,2.117 
*COc1ccc(cc1)C(C#N)=Cc1ccc(cc1)N(c1ccccc1)*,1.102 ,0.557 ,0.202 ,2.701 
*Oc1c(C)cc(c(Br)c1F)C(CC)(CC)c1cc(Br)cc(c1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)*,1.383 ,0.444 ,0.202 ,2.968 
*[Si](C)(C)c1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)*,1.176 ,0.522 ,0.202 ,2.393 
*C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)[Si](C)(C)*,1.176 ,0.522 ,0.202 ,2.470 
*c1ccc(cc1)NC(=O)c1ccc(cc1)[Si](C)(C)S(=O)(=O)*,1.176 ,0.522 ,0.202 ,2.665 
*CC(c1cc(C#N)cc(OC)c1)*,1.032 ,0.595 ,0.202 ,2.107 
*CCCC#CC#CC#CC#CCOC(=O)S*,1.084 ,0.567 ,0.202 ,2.189 
*OC(O)C(O)COc1ccc(cc1C)*,1.070 ,0.574 ,0.202 ,2.067 
*CCC(c1ccccc1C(C)C)*,0.995 ,0.617 ,0.202 ,2.505 
*Oc1ccc(c(C([2H])(F)F)c1)c1ccc(c(C(F)(F)F)c1)OC(=O)CCCCCCCCCCC(=O)*,1.315 ,0.467 ,0.202 ,4.415 
*/C=C/CCCCCC[Si](c1ccccc1)(c1ccccc1c1ccccc1)*,1.054 ,0.582 ,0.202 ,3.188 
*Oc1cc(CCCCCCCC)cc(c1)C(C)(C)c1cc(OC)c(c(C(F)(F)F)c1)*,1.329 ,0.462 ,0.202 ,3.287 
*c1ccc(c2ccccc12)C(=O)NNC(=O)c1cccc(c1)C(C(F)(F)F)(C(F)(F)F)*,1.385 ,0.443 ,0.202 ,3.196 
*OC=COP(=O)(N=O)c1ccc(cc1)S(=O)(=O)c1cccc(c1)NC(=O)S*,1.229 ,0.499 ,0.202 ,4.110 
*/C=C/c1ccc(c2ccc(/N=N/CCSC)cc2)cc1*,1.199 ,0.512 ,0.202 ,3.010 
*CC(c1ccc(c2ccc(C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1)*,1.357 ,0.452 ,0.202 ,2.997 
*Nc1cccc(c1)NC(=O)c1ccc(cc1C)S(=O)(=O)c1ccc(c(Br)c1)Sc1ccc(cc1)C(=O)*,1.453 ,0.423 ,0.202 ,3.770 
*OCC[Si](CC)(COC)C(=O)S*,1.126 ,0.545 ,0.202 ,2.075 
